id;topic;emoji;title;text
97;Positive Mindset;🌥;Minimise negative thoughts.;Try imaging the worst/best and most likely cases.<br>Counter negative thoughts with facts.<br>Assume the best of others' intentions.<br>Change the story in your head.
98;Positive Mindset;🌻;Embrace positive thinking.;Be grateful for common but essential things.<br>Do frequent adjustments to your living space.<br>Find the positive triggers in your environment.<br>Put together a positivity portfolio.
99;Positive Mindset;❤️;Develop positive relationships.;Strive for celebrating others' good news.<br>Make far more positive than negative comments.<br>Consider doing random acts of kindness.
100;Positive Mindset;🖐;Foster positive habits.;Balance work and play well enough.<br>Set an end-time for working hours.<br>Frequently leverage your strengths.<br>Find some joy in your work.
101;Positive Mindset;🐚;Respond adequately to negativity.;Practice empathy and acknowledge the feelings.<br>Redirect your focus on possible improvements.<br>Protect your positive zone by distancing.
102;Positive Mindset;😨;How to respond to failure or loss?;Avoid extreme words such as always/worst/never...<br>Create some space for all stages of grief.<br>Focus on reengagement and success.
103;Managing Stress;😥;Identify your stress triggers.;What elevates your stress level?<br>Where does it come from?<br>When it usually happens?<br>Name specific activities and places.
104;Managing Stress;📵;Take control over your availability.;You are not required to be reachable non-stop.<br>Selectively disconnect for a preset time.<br>Try working in a different environment.<br>Use the "Do not disturb" mode.<br>Work off-site once in a while.
105;Managing Stress;🤙;Manage your interactions.;Not all meetings are mandatory by default.<br>Minimise interactions with your stress triggers.<br>Proactively seek positively influential opportunities.
106;Managing Stress;🕑;Take control over your schedule.;Try to begin your day at work early.<br>Start with the most challenging tasks.<br>Consciously take 5 min breaks 2+ times a day.<br>Learn how to say "No" when necessary.
107;Managing Stress;💚;Make positive personal choices.;Imagine yourself actually working on your desires.<br>Engage in fun and socially stimulating activities.<br>Focus on the good things and be grateful.<br>Refine your diet and workout plan.
108;Building Resilience;🗿;What is personal resilience?;It's the ability to not break down under pressure.<br>Employ empathy and regulate emotional responses.<br>Stay cool even when being disturbed.
109;Building Resilience;🙈;Practice response to rejection.;Get accustomed to hearing "No".<br>Try asking for things you might not receive.<br>Keep your internal dialogue positive.<br>Avoid apologizing for every minor hiccup.
110;Building Resilience;🏔;Willingly face uncomfortable situations.;Get yourself an extra assignment.<br>Try exploring some new field.<br>Don't give up too early.<br>Learn from any failures.
110;Building Resilience;🔋;Manage your energy efficiently.;Schedule any challenges for your productive hours.<br>When are you the most productive?<br>Is it in the morning/afternoon/evening?<br>Maybe you need to warmup first?
111;Building Resilience;☀️;Practice positive thinking.;The words you imagine and say alter your mood.<br>Negative events are usually temporary.<br>Focus on things under your control.<br>Don't dwell on the little things.
112;Building Resilience;🪞;Reflect on your previous reactions.;What could you have done differently?<br>Did you handle the situation appropriately?<br>Did you focus on being positive?
113;Building Resilience;🥨;Take a break and then come back.;Take disciplined breaks to cool down regularly.<br>Go elsewhere and engage in a different activity.<br>Review and prioritise action points later.<br>Redirect your energy focus.
114;Workspace Social Skills;🦄;Become self-aware and utilize it.;Repeatedly ask yourself "Who are you?"<br>Focus on your traits and <b>not</b> your actions.<br>Understand your needs and feelings.<br>See how your choices affect others.<br><b>Reflect</b> on the observations.
114;Workspace Social Skills;🧘‍♀️;Learn how to regulate your emotions.;Observe your emotional triggers in real time.<br>Don't act out nor totally suppress emotions.<br>Avoid spending energy on negative self-talk.<br>Identify and learn from unpleasant events.
115;Workspace Social Skills;🎳;Nurture your relationships.;Having a close friend at your workplace<br>rises chances for higher engagement.<br>Look for people with specific traits.<br>Seek loyalty and respect. <b>Build trust.</b>
116;Workspace Social Skills;💙;Practice empathy at work.;Avoid quick judgement and stereotyping.<br>Be patient and attentive listener.<br>Express genuine interest.<br>Ask follow-up questions.
117;Workspace Social Skills;💫;Influence others without authority.;Build strong credibility and trust.<br>Influence through real-life storytelling.<br>Mind your attitude and value relationships.<br>Ask others for their support.
118;Workspace Social Skills;🩺;Listen actively to truly understand.;Don't plan your response in advance.<br>Always avoid interrupting others.<br>Notice gestures and visual cues.<br>Acknowledge and recap learnings.
119;Workspace Social Skills;🪡;Tailor your communication approach.;Get to know the audience traits and desires.<br>Imagine yourself being in their shoes.<br>Be clear on what you need to share.<br>Think how you want them to feel.
120;Workspace Social Skills;🙊;Overcome the fear of public speaking.;Focus on the message and <b>not on yourself</b>.<br>Prepare essential talking points ahead of time.<br>Form deep connections by expressing energy.<br>Employ storytelling to engage the audience.
121;Workspace Social Skills;☕️;Get good at small talk.;Change your mindset - it's not a waste of time.<br>Initiate discussions about your favourite topics.<br>Ask open ended questions and let others speak.<br>Share something about yourself.
122;Prioritizing Tasks;🌍;Embrace a new perspective on time.;World is filled with distractions <b>and opportunities.</b><br>Create proper filters for your interactions.<br>Aim focus on the most valuable inputs.<br>Make sure you choose your actions.
123;Prioritizing Tasks;💰;Value your time and attention.;Ask yourself "Is this really a valuable activity?"<br>Imagine how much it could be worth per hour.<br>The higher the value the more freedom you create.<br>Rank available opportunities and choose wisely.
124;Prioritizing Tasks;❌;Eliminate low-value activities.;Don't waste time with negative thoughts or self-talk.<br>Refrain from engaging in any internet arguments.<br>Rule out addictive and destructive behaviour.<br>Set filters for notifications and e-mail inbox.
125;Prioritizing Tasks;⏰;Reschedule things you are not sure about.;Gather promising ideas and review them later.<br>Some may turn out to be groundbreaking.<br>Schedule a recurring "Perhaps List Review".<br>Keep everything in written form.
126;Prioritizing Tasks;📆;Schedule for later if there's enough space.;Actions with low or delayed value can be postponed.<br>Ask yourself "When is the latest time I need this?"<br><b>Set a reminder</b> and get back to it later.
127;Prioritizing Tasks;🦾;Automate any recurring high-value tasks.;A small investment can save a lot over a long time.<br>Almost anything can be at least partially automated.<br>Think about both proper and "hacky" solutions.<br><b>Focus on progress</b> and not on perfection.<br>Start with the most trivial parts.
128;Prioritizing Tasks;🧢;Delegate if someone is better suited.;Consider if there's more value in doing it yourself.<br>Delegation = Provide instructions and expectations.<br>Abdication = Make a request and await success.<br>Practice passing on tasks of high value.
129;Prioritizing Tasks;⛏;Focus on the tasks you perform the best.;Switch from being busy to being highly valuable.<br>Does it take just about 5 minutes? <b>Then do it now!</b><br>Set up a reminder for anything longer than that.<br>The higher the value the sooner you should do it.
129;Becoming Super-Collaborator;🐜;Embrace a collaborative mindset.;Identify your unique strengths and start using them.<br>All skills can be improved but some come naturally.<br>Create a skill wishlist and practice these with others.<br>Discover what makes people shine and encourage it.
130;Becoming Super-Collaborator;🐝;Practice proven habits of team-players.;Always build good relationships with colleagues.<br>Reserve a high-focus time for your energy peaks.<br><b>Accept possible imperfections</b> and differences.<br>Celebrate achievements and reflect on the journey.
131;Becoming Super-Collaborator;✈️;Think big and think small.;Thinking big = Imagine the desired work end results.<br>Thinking small = Identify the mission critical steps.<br>Combine both perspectives into a plan outline.<br>Set up tasks and expectations collaboratively.
