area;emoji;name;type;hp;atk;sta;lck;int;mgk;def;note;desc;message;achiev
Fading Wildlands;🐌;Trail Slug;Small;1;0;0;0;-1;0;0;Slow Crawler;Leaves a faint, unhealthy shimmer behind.<br>;How come this happened?;none
Fading Wildlands;🐌;Ash Snail;Small;1;0;0;0;-1;0;0;Slow Mover;Covered by dust, leaves pale trail behind.<br>;Slipped at the wrong time.;none
Fading Wildlands;🪱;Burrow Worm;Small;1;0;1;0;-1;0;0;Soil Dweller;Perfect for fish, less so for you.<br>;Got destroyed by a worm.;none
Fading Wildlands;🪱;Hook Worm;Small;1;0;1;0;-1;0;0;Bait Creature;Wriggles like it already knows the water.<br>;Got destroyed by a worm.;none
Fading Wildlands;🪱;Lost Worm;Small;1;0;1;0;-1;0;0;Surface Stray;Should’ve stayed underground.<br>;Got destroyed by a worm.;none
Fading Wildlands;🪱;Skittish Worm;Small;1;0;1;0;-1;0;0;Nervous Bait;Jumps at every tremor in the soil.<br>;Got destroyed by a worm.;none
Fading Wildlands;🪱;Old Grub;Small;1;0;1;0;-1;0;0;Reliable Bait;Always where the shovel lands first.<br>;Got destroyed by a worm.;none
Fading Wildlands;🪱;Rain Crawler;Small;2;0;1;0;-1;0;0;Storm Bait;Comes out when the sky cries.<br>;Got destroyed by a worm.;none
Fading Wildlands;🦗;Startled Hopper;Small;1;0;1;0;-1;0;0;Jumpy Insect;Bolts suddenly, ruining your footing.<br>;Got too close and fell.;none
Fading Wildlands;🐝;Lost Bumble;Small;1;0;1;0;-1;0;0;Straying Sting;Wanders aimlessly, stinger always ready.<br>;Stung in the eye and fell.;none
Fading Wildlands;🦋;Azure Moth;Small;1;0;1;0;-1;0;0;Fragile Bait;Delicate wings, surprisingly good hook bait.<br>;How come this happened?;none
Fading Wildlands;🐛;Quiet Larva;Small;1;0;1;0;-1;0;0;Soft Threat;Looks harmless, feels like a warning.<br>;This was a disaster.;none
Fading Wildlands;🐜;Small Forager;Small;1;0;1;0;-1;0;0;Tiny Marcher;Crawls around like the world isn't ending.<br>;How could this happen?;none
Fading Wildlands;🐜;Trail Ant;Small;1;0;1;0;-1;0;0;Line Walker;One ant, a whole nest nearby.<br>;How could this happen?;none
Fading Wildlands;🐀;Field Scavenger;Small;1;0;2;0;-1;0;0;Disease Carrier;Tiny body, filthy teeth.<br>;Contracted a deadly disease.;none
Fading Wildlands;🐁;Pale Vermin;Small;1;0;2;0;-1;0;0;Sickly Rodent;Eyes too bright, ribs too sharp.<br>;Contracted a deadly disease.;none
Fading Wildlands;🦎;Skitter Lizard;Small;1;0;2;0;0;0;0;Quick Reptile;Darts just out of reach.<br>;Lost sight of it, paid the price.;none
Fading Wildlands;🐇;Panicked Hare;Small;1;0;3;0;10;0;0;Nervous Prey;The erratic jumps make it annoying.<br>;Trampled in confusion.;none

Fading Wildlands;🐦‍⬛;Stray Raven;Pet;1;0;1;1;0;0;0;Omen Bird;Its croak sounds too much like laughter.<br>;It has joined your side.;none
Fading Wildlands;🦦;Stream Rascal;Pet;1;0;1;1;0;0;0;River Mischief;Starts trouble where none exists.<br>;Slipped into your party.;none
Fading Wildlands;🐈;Field Stray;Pet;1;0;2;1;0;0;0;Silent Hunter;Eyes locked on anything that moves.<br>;Gained powerful follower;none
Fading Wildlands;🦎;Grass Gecko;Pet;1;0;2;1;0;0;0;Wall Climber;Unbothered by anyone’s panic.<br>;Got a new travel buddy!;none
Fading Wildlands;🐞;Spotted Wanderer;Pet;1;0;1;1;0;0;0;Tiny Traveler;Too small to fear, too stubborn to stop.<br>;Got a new travel buddy!;none
Fading Wildlands;🐥;Stray Chick;Pet;1;0;1;0;-1;0;0;Lost Hatchling;Looking for something that won’t answer back.<br>;Got a new travel buddy!;none

Fading Wildlands;🦌;Thin Doe;Standard;2;0;3;0;2;0;0;Starved Grazer;Looks weak but kicks hard.<br>;Crushed by desperate hooves.;none
Fading Wildlands;🐏;Scared Sheep;Standard;2;0;3;0;10;0;0;Fluffy Critter;Capable of unfortunate headbutts.<br>;Impaled by its horns.;none
Fading Wildlands;🐐;Vengeful Ram;Standard;3;1;1;0;10;0;0;Horned Temper;Looking for its next victim.<br>;Impaled by its horns.;none
Fading Wildlands;🦫;Timber Terror;Standard;2;1;2;0;2;0;0;Busy Maw;Teeth made for wood, repurposed for bone.<br>;Dragged you to a dam of bones.;none
Fading Wildlands;🦃;Riled Turkey;Standard;1;1;3;0;10;0;0;Feathered Fury;The closer you step, the louder it rages.<br>;Defeated by an angry bird.;none

Fading Wildlands;🐜;Biting Ant;Stingy;1;1;1;0;-1;0;0;Tiny Swarm;One is nothing, many is death.<br>;Overrun by thousand bites.;none
Fading Wildlands;🦂;Hidden Scorpion;Stingy;1;1;2;0;-1;0;0;Buried Threat;Getting ready to strike from beneath.<br>;Venom took over your body.;none
Fading Wildlands;🦗;Thorn Cricket;Stingy;1;1;2;0;-1;0;0;Sharp-limbed;Its legs cut more than thin grass.<br>;Sliced by a sudden leap.;none
Fading Wildlands;🐝;Stray Bee;Stingy;1;1;1;0;-1;0;0;Wandering Threat;Doesn’t know where it’s going, only that it hurts.<br>;Got stung right away.;none
Fading Wildlands;🦔️;Curled Bristle;Stingy;2;0;1;1;0;0;0;Spined Bundle;Harmless until you reach for it.<br>;Reached for the wrong thing.;none

Fading Wildlands;🦥;Slow Watcher;Toxic;2;0;1;1;1;0;0;Gentle Observer;Barely moves, means no harm.<br>;Oh, that is really unfortunate.;none
Fading Wildlands;🦨;Musk Bandit;Toxic;2;0;2;0;1;0;0;Stench Bearer;Smell clings to skin and soul.<br>;Suffered a terrible stench.;none
Fading Wildlands;🐀;Field Rat;Toxic;2;1;2;0;-1;0;0;Disease Bearer;Scurries through unseen filth.<br>;Contracted a sickness.;none

Fading Wildlands;🦊;Fleeting Fox;Swift;2;0;2;0;2;0;0;Silent Hunter;Blasts through the undergrowth.<br>;Outplayed and bled out.;none
Fading Wildlands;🦇;Screeching Bat;Swift;2;1;2;1;0;0;0;Night Hunter;Foul stench clings to its wings.<br>;Worn down from above.;none
Fading Wildlands;🦆;Spooked Drake;Swift;2;1;2;0;0;0;0;Wild Animal;Goes straight for your ankles.<br>;Plucked by an angry bird.;none
Fading Wildlands;🐺;Stray Whelp;Swift;2;1;1;0;0;0;0;Wild Animal;Goes straight for the ankles.<br>;Torn apart by a whelp.;none

Fading Wildlands;🐏;Neurotic Sheep;Heavy;2;1;2;0;4;0;0;Crested Charge;It's getting ready for serious ramming.<br>;Head-butted to death.;none
Fading Wildlands;🐄;Grazing Cow;Heavy;3;0;1;0;1;0;0;Guarded Bulk;Tolerates you right up until it doesn’t.<br>;Impaled by its horns.;none
Fading Wildlands;🦌;Startled Stag;Heavy;2;0;2;0;2;0;0;Flee or Fight;Flight can turn to trampling in a heartbeat.<br>;Head-butted to death.;none
Fading Wildlands;🐂;Tired Bull;Heavy;3;0;1;0;2;0;0;Unstoppable Force;Looks tired, could fight as a last resort.<br>;Crushed under hooves.;none
Fading Wildlands;🦬;Sickly Bison;Heavy;3;0;1;0;1;0;0;Ancient Bulk;Slow and nasty, but still dangerous.<br>;Flattened by a monster.;none

Fading Wildlands;🪿;Untitled Goose;Boss-Pet;2;1;3;0;2;0;0;Feathered Menace;Peace was never an option.<br>;Finally found peace?;none
Fading Wildlands;🦢;Pond Queen;Boss-Standard;2;2;2;0;3;0;0;Feathered Fury;Still waters, vicious wings.<br>;Choked by the long neck.;none
Fading Wildlands;🦅;Sky Tyrant;Boss-Swift;1;3;2;0;3;0;0;Aerial Killer;Its eyes are locked your neck.<br>;Talons tore your throat apart.;none
Fading Wildlands;🐍;Rush Viper;Boss-Swift;1;3;2;0;-1;0;0;Ambush Predator;Strikes as fast as a lightning.<br>;Got injected with deadly venom.;none
Fading Wildlands;🦡;Burrow Fury;Boss-Swift;2;2;2;0;4;0;0;Relentless Savage;Afraid of nothing, including you.<br>;Got freaking destroyed.;none
Fading Wildlands;🦬;Risky Bison;Boss-Heavy;3;2;2;0;2;0;0;Thundering Menace;Each stomp feels like earth protesting.<br>;Suffered a fatal blunt trauma.;none
Fading Wildlands;🐗;Brood Matron;Boss-Heavy;3;2;1;0;-1;0;0;Tusken Guardian;Anything near her squeal is already dead.<br>;Got torn apart by tusks.;none
Fading Wildlands;🐂;Alpha Bull;Boss-Heavy;3;2;1;0;1;0;0;Broken Charge;Charges ahead with no regrets.<br>;Got impaled by both horns at once.;none

Fading Wildlands;📦;Schrödinger's Box;Item;0;0;0;0;0;0;0;<b>Artifact</b>;Provides a new skill <b>📦 Dead or Alive</b>.<br>50% chance to <b>avoid death</b> on fatal hit.;Gained skill <b>📦 Dead or Alive</b>.;quest_first
Fading Wildlands;🪣;Sturdy Bucket;Item-Head;0;0;0;0;0;0;0;<b>Artifact</b>;Possibly can serve as a makeshift helmet.<br>Provides <b>+1 🔰 Physical Defence</b>.;Its not stupid if it works! <b>+1 🔰</b>;fish_no_bait_50
Fading Wildlands;🐴;Horse Mask;Item-Head;0;0;0;0;0;0;0;<b>Artifact</b>;Grants special attribute <b>🐴 Prey Appearance</b>.<br><b>Enemies are passive</b> until attacked.;Gained attribute <b>🐴 Prey Appearance</b>.;gamble_lose_first
Fading Wildlands;♥️;Extra Life;Item;0;0;0;0;0;0;0;<b>Artifact</b>;Provides a new skill <b>💀 Cheat Death</b>.<br>Get a <b>second chance to live</b> upon dying.;Gained skill <b>💀 Cheat Death</b>.;reincarnated_first
Fading Wildlands;📼;Rewind Tape;Item;0;0;0;0;0;0;0;<b>Artifact</b>;Provides a new skill <b>💀 Cheat Death</b>.<br>Get a <b>second chance to live</b> upon dying.;Gained skill <b>💀 Cheat Death</b>.;destiny_10
Fading Wildlands;📣;Loud Vocalizer;Item;0;0;0;0;0;0;0;<b>Artifact</b>;Makes you kind of hard to ignore.<br><b>💬 Speak</b> gets <b>2x more effective</b>.;Your voice got <b>📣 Very Loud</b>!;spoke_boss
Fading Wildlands;🧂;Salt Shaker;Item;0;0;0;0;0;0;0;<b>Artifact</b>;Grants ability <b>🧂 Master Chef</b>: season food.<br>Add <b>+1 🟢 Energy</b>, <b>remove negative effects</b>.;Gained skill <b>🧂 Master Chef</b>.;cook_food_first
Fading Wildlands;💍;Engraved Ring;Item;0;0;0;0;-4;2;0;<b>Artifact</b>;Says "My Precious" on the inside.<br>Provides <b>+2 🔵 Mana</b> for <b>-4 🧠 Intellect</b>.;The temptation took its toll.;full_party
Fading Wildlands;🥻;Philosopher Toga;Item-Chest;0;0;0;0;3;0;0;<b>Artifact</b>;Adds skill <b>💭 Deep Thought</b> and <b>+3 🧠 Intellect</b>.<br><b>5% chance</b> for an idea to struck you anywhere.;Gained skill <b>💭 Deep Thought</b>.;level_first
Fading Wildlands;🥋;Budo Kimono;Item-Chest;1;0;1;0;0;0;0;Fancy Gown;Made for martial arts practice.<br>Provides <b>+1 ❤️ Health</b> and <b>+1 🟢 Energy</b>.;Feels neat and comfortable;knockout_first
Fading Wildlands;🔪;Bloody Knife;Item-Weapon;0;1;0;-2;0;0;0;Evidence of Sin;The blade still looks sharp.<br>Provides <b>+1 ⚔️ Damage</b> for <b>-2 🍀 Luck</b>.;The blood wasn't yours. Not yet.;kill_first

Fading Wildlands;🏵️;Symbol of Life;Item;0;0;0;0;0;0;0;<b>Artifact</b>;Provides a new skill <b>💀 Cheat Death</b>.<br>Get a <b>second chance to live</b> upon dying.;Gained skill <b>💀 Cheat Death</b>.;none
Fading Wildlands;⛺️;Camping Tent;Item;0;0;0;0;0;0;0;<b>Artifact</b>;Portable equipment, provides extra comfort. <br>33% chance for <b>+1 🟢 Energy</b> on <b>💤 Sleep</b>.;Gained ability <b>⛺️ Portable Camp</b>.;none
Fading Wildlands;🥀;Weeping Rose;Item;-1;0;0;0;0;0;0;<b>Artifact</b>;Sacrifice -1 ❤️ for <b>🥀 Thorns Payback</b>.<br><b>Deal -1 💔 when hit</b> by a physical attack.;Obtained <b>🥀 Thorns Payback</b>.;none
Fading Wildlands;🎨;Painter's Palette;Item;0;0;0;0;3;0;0;<b>Artifact</b>;Must've been left behind by a true artist.<br>Provides <b>+3 🧠 Creativity</b>.;Felt a surge of creativity;none
Fading Wildlands;🖌️;Painter's Brush;Item-Weapon;0;0;0;0;0;1;0;<b>Artifact</b>;Enchanted tool radiating with strange power.<br>Provides <b>+1 🔵 Mana</b>, leaves a glowing trail.;Got a hold of a powerful tool;none
Fading Wildlands;🍀;Four-leaf Clover;Item;0;0;0;3;0;0;0;<b>Artifact</b>;Extremely rare growth, might be beneficial.<br>Provides <b>+3 🍀 Luck</b>.;Feels so good to have it.;none
Fading Wildlands;🧪;Unknown Elixir;Item;0;0;0;0;0;0;0;<b>Artifact</b>;<b>🧬 Polymorph</b> into a random creature.<br><i>Drink solely at your own risk.</i>;That feels very different.;none

Fading Wildlands;💐;Flower Bouquet;Item;0;0;0;0;2;0;0;Floral Gift;Makes anyone look a lot friendlier.<br>Provides <b>+2 🧠 Charisma</b>.;Feels purposeful carrying that.;none
Fading Wildlands;🌹;Prickly Rose;Item;-1;0;0;0;2;0;0;Forest Flora;Beautiful but has very sharp thorns.<br>Provides <b>+2 🧠 Charisma</b> for <b>-1 💔 Health</b>.;Beauty extracted its toll.;none
Fading Wildlands;🌷;Pink Tulip;Item;1;0;0;0;1;0;0;Natural Beauty;Brings intense pleasure whenever looked at.<br>Provides <b>+1 ❤️ Health</b> and <b>+1 🧠 Charisma</b>.;Something still soft in all this ruin.;none

Fading Wildlands;🪨;Sharp Stone;Item-Weapon;0;1;0;0;0;0;0;Improvised Weapon;Shaped just right to use for offence.<br>Provides <b>+1 ⚔️ Damage</b>.;Obtained an improvised weapon.;none
Fading Wildlands;🧤;Lucky Gloves;Item;0;0;0;2;0;0;0;Blessed Gear;Deems both hands "the lucky hand".<br>Provides <b>+2 🍀 Luck</b>.;Became lucky handed;none
Fading Wildlands;📗;Camping Instructions;Item;0;0;1;0;0;0;0;Survival Manual;Explains essential survival instincts.<br>Provides <b>+2 🟢 Energy</b>.;Embraced the new knowledge.;none
Fading Wildlands;📓;Mushroom Atlas;Item;0;0;0;1;1;0;0;Encyclopedia;Describes various species of forest growth.<br>Provides <b>+1 🧠 Intellect</b> and <b>+1 🍀 Luck</b>.;Embraced the knowledge.;none
Fading Wildlands;🏹;Cursed Bow;Item-Weapon;-1;1;0;0;0;0;0;Malevolent Weapon;Lying next to a corpse, handle with care.<br>Provides <b>+1 ⚔️ Damage</b> for <b>-1 💔 Health</b>.;Shot yourself into the knee!;none
Fading Wildlands;🥏;Stray Disc;Item-Weapon;0;1;0;-1;0;0;0;Cursed Weapon;Effective in combat, but may be problematic.<br>Provides <b>+1 ⚔️ Attack</b> for <b>-1 🍀 Luck</b>.;Grabbed it for yourself;none

Fading Wildlands;👢;Riding Boots;Item-Legs;0;0;1;0;0;0;0;Specialized Gear;Enables better stability in action.<br>Provides <b>+1 🟢 Energy</b>.;They fit you just perfectly.;none
Fading Wildlands;🧣;Red Scarf;Item-Head;1;0;0;0;0;0;0;Warming Accessory;Additional protection for your neck.<br>Provides <b>+1 ❤️ Health</b>.;Feels really warm.;none
Fading Wildlands;📔;Philosopher Journal;Item;0;0;0;0;1;0;0;Notes;Provides <b>+1 🧠 Intellect</b> and an insight.<br>n/a;Embraced the knowledge.;none
Fading Wildlands;🗺;Lost Map;Item;0;0;1;0;0;0;0;Adventure Guide;Stumbled upon an unknown map.<br>Provides <b>+1 🟢 Energy</b>.;Enhanced your area awareness.;none
Fading Wildlands;🧤;Riding Gloves;Item;0;0;1;0;0;0;0;Specialized Gear;Increases wearer's versatility.<br>Provides <b>+1 🟢 Energy</b>.;Ready for action.;none
Fading Wildlands;🔔;Lucky Chime;Item;0;0;0;1;-1;0;0;Annoying Trinket;Makes annoying sound every time it moves.<br>Provides <b>+1 🍀 Luck</b> for <b>-1 🧠 Intellect</b>.;Hopefully this works;none
Fading Wildlands;📃;Dirty Pamphlet;Item;0;0;0;0;1;0;0;Scribbled Note;Provides <b>+1 🧠 Intellect</b> and an insight:<br>n/a;Should help to remember.;none
Fading Wildlands;🎀;Silly Bowtie;Item;0;0;0;2;-1;0;0;Accessory;Grants extra luck, but looks cringe.<br>Provides <b>+2 🍀 Luck</b> for <b>-1 🧠 Charisma</b>.;That looks ridiculous;none
